Geography,Total - Private households,Median 2005 household income $,Median 2005 after-tax household income $,Average 2005 household income $,Standard error of average household income $,Average 2005 after-tax household income $,Standard error of average after-tax household income $
Sioux Valley Dakota Nation (4606040) IRI 01020,335,20704,20704,26316,0,26024,0
Division No. 7 (4607)   00000,24430,46885,40610,57041,709,47415,497
South Cypress (4607038) RM 00000,220,44366,38584,45965,3763,41000,3049
Glenboro (4607041) VL 00000,295,37315,32580,45864,3692,39724,2896
Oakland (4607045) RM 00000,355,58024,49927,57867,3476,45040,4838
Wawanesa (4607047) VL 00000,225,46750,40642,56873,5417,47962,4065
Glenwood (4607051) RM 00001,170,34999,34561,53576,7189,46212,6132
Souris (4607053) T 00001,810,38564,35642,48522,2346,41225,1809
Whitehead (4607057) RM 00000,520,64236,53628,72238,3735,59846,2810
Cornwallis (4607060) RM 00000,1465,66134,55221,69818,2417,56838,1797
Brandon (4607062) CY 01010,17920,45040,39513,56922,896,47178,612
North Cypress (4607065) RM 00000,545,51557,45514,64120,3744,54220,2920
Carberry (4607068) T 00000,660,43019,36575,50785,2888,43224,2198
Elton (4607071) RM 00000,455,57340,50512,62186,3377,52841,2750
Daly (4607075) RM 00010,290,37299,34567,42809,4564,36606,3843
Rivers (4607077) T 00000,505,33021,32413,38393,2233,34234,1815
Division No. 8 (4608)   01010,4640,36670,33760,44436,1019,39081,860
South Norfolk (4608031) RM 00000,390,43803,40199,52447,4480,44168,3249
Notre Dame de Lourdes (4608033) VL 00000,240,39054,37700,45542,4095,40505,3303
Treherne (4608038) T 00000,300,35941,31588,46921,7099,38783,6180
Victoria (4608042) RM 01000,445,40148,36558,45201,3062,39424,2538
North Norfolk (4608045) RM 01000,845,39974,37311,45931,2499,40138,1819
MacGregor (4608048) VL 01010,380,47088,41138,53754,3360,45874,2639
Lansdowne (4608054) RM 01010,275,36023,32160,42581,4250,37470,3342
Westbourne (4608059) RM 01010,555,35142,33635,48768,6883,44120,6278
Gladstone (4608061) T 00000,375,34283,30728,42842,3276,36809,2475
Lakeview (4608066) RM 01010,145,35128,35128,39368,4184,35417,3667
Sandy Bay 5 (4608069) IRI 01010,510,21952,21616,28243,0,27997,0
Glenella (4608072) RM 00000,180,23431,23067,35516,4130,32403,3467
Division No. 9 (4609)   01010,8650,46203,40370,52955,740,44954,568
Grey (4609017) RM 01010,680,43559,39262,51289,2615,44141,2049
St. Claude (4609020) VL 01010,255,42990,35811,48443,3606,41941,2782
Portage la Prairie (4609024) RM 01010,2180,57832,49747,62926,1689,52746,1288
Long Plain (Part) 6 (4609025) IRI 00000,250,12832,12832,18602,0,18525,0
Dakota Plains 6A (4609026) IRI 00000,0,0,0,0,0,0,0
Dakota Tipi 1 (4609027) IRI 00000,0,0,0,0,0,0,0
Portage la Prairie (4609029) CY 00000,5215,43015,38738,51291,1026,43531,784
Division No. 10 (4610)   00010,2965,73498,60748,83786,2067,67427,1414
Macdonald (4610035) RM 00000,1815,79934,67274,90601,3165,72221,2110
Cartier (4610043) RM 00010,765,63939,53690,68143,2369,56470,1825
St. François Xavier (4610052) RM 00000,385,76722,61071,82859,5411,66684,3721
Division No. 11 (4611)   00000,261855,49895,42970,63123,300,51731,198
Winnipeg (4611040) CY 00000,261130,49794,42895,63025,300,51659,198
Headingley (4611042) RM 02000,725,79460,66000,98607,5671,78044,3955
Division No. 12 (4612)   00000,7265,62025,52526,74927,2280,60609,1509
Springfield (4612047) RM 00000,4490,74182,60778,87617,3508,69649,2292
Brokenhead (4612054) RM 00011,1530,52344,44352,58410,1873,49268,1470
Beausejour (4612056) T 00000,1245,40343,35858,49541,2054,42002,1554
Division No. 13 (4613)   00000,16375,65775,54898,76528,970,61818,671
East St. Paul (4613032) RM 00000,2905,97224,77694,108995,2968,84630,1998
West St. Paul (4613037) RM 00000,1440,72912,60881,79145,3324,64115,2318
St. Andrews (4613043) RM 00000,4025,72361,59461,80997,2163,65133,1447
Selkirk (4613047) CY 00000,3835,42502,37677,54247,1539,45596,1107
Dunnottar (4613049) VL 02020,345,43300,37244,65240,7967,51788,5140
St. Clements (4613056) RM 01010,3665,64452,54136,71079,1512,58386,1111
Brokenhead 4 (4613062) IRI 01010,150,25792,25792,31122,0,30484,0
Division No. 14 (4614)   00000,6280,59181,49717,64341,1131,53556,849
Rosser (4614015) RM 00010,445,66145,56626,63990,3526,53642,2737
Woodlands (4614031) RM 00000,1225,51415,46410,57519,2008,48732,1556
Rockwood (4614036) RM 01000,2450,61038,52616,67731,1991,55962,1445
Stonewall (4614039) T 00000,1630,62565,53736,69924,2354,57827,1820
Teulon (4614042) T 00000,530,40497,35744,47484,2831,40310,2145
Division No. 15 (4615)   01011,8845,37327,34443,46454,775,39895,616
Langford (4615018) RM 01000,280,49306,43409,62682,5623,52326,4201
Neepawa (4615020) T 00000,1490,37931,35217,47403,2004,40965,1571
Odanah (4615023) RM 00020,170,40997,38794,46536,4599,40245,3536
Saskatchewan (4615027) RM 01000,220,37823,33634,41387,4303,36582,3685
Rapid City (4615029) T 00000,170,53156,45568,48607,4350,41722,3363
Blanshard (4615033) RM 00000,215,38497,37020,45733,4789,39425,3615
Hamiota (4615036) RM 00010,165,56578,46394,54251,4921,45510,4079
Hamiota (4615038) T 00000,365,47319,41451,50618,3264,43424,2487
Miniota (4615041) RM 00000,320,34859,32353,36310,5047,31782,4687
Birdtail Creek 57 (4615042) IRI 01000,100,18368,18144,22386,0,22094,0
Archie (4615046) RM 01000,140,38914,34555,38833,5311,33949,4572
Ellice (4615048) RM 01010,140,47201,38291,54461,1469,47078,1166
St-Lazare (4615051) VL 01000,90,70269,58135,76968,13185,62553,10185
Birtle (4615055) RM 00000,290,33451,31340,39825,5568,33135,4943
Birtle (4615057) T 00000,310,40062,36266,47117,3825,40827,3117
Shoal Lake (4615060) RM 01000,260,34461,30887,44064,4086,38849,3472
Shoal Lake (4615062) T 01010,320,30382,27202,36277,4360,30220,4778
Strathclair (4615064) RM 01000,390,40462,36521,40198,3376,34835,2844
Harrison (4615069) RM 01000,380,26725,25352,41791,4228,35884,3034
Rolling River 67 (4615071) IRI 01020,115,22208,22080,29618,0,29284,0
Minto (4615073) RM 01000,215,46470,41862,65235,8881,52096,6302
Minnedosa (4615075) T 01010,1145,37642,34926,50692,2826,42785,2022
Rosedale (4615078) RM 01000,515,34554,32152,40602,3170,36101,2600
Clanwilliam (4615091) RM 02000,220,47759,46196,57326,7212,48946,5352
Erickson (4615093) T 00000,240,28147,25992,36964,3394,32811,2732
Park (South) (4615095) RM 02020,460,41084,37895,53518,3938,45449,3057
Division No. 16 (4616)   01011,4090,30661,29175,42176,1024,36598,741
Rossburn (4616002) RM 01000,210,30539,28466,42668,4790,37534,3868
Rossburn (4616007) T 01000,265,25164,24522,31248,2733,28100,2073
Waywayseecappo First Nation (4616017) IRI 01000,330,16576,16576,24518,0,24349,0
Silver Creek (4616019) RM 01010,195,37692,35631,64358,14956,50908,8940
Russell (4616024) RM 01100,275,40430,35799,52544,4778,45079,3894
Gambler 63 (Part) (4616025) IRI 02021,0,0,0,0,0,0,0
Binscarth (4616029) VL 01000,185,41048,39000,53888,5604,44987,4051
Russell (4616032) T 00100,630,35949,32090,48254,3344,40431,2310
Shellmouth-Boulton (4616038) RM 01110,380,35399,33480,43415,3558,37977,2684
Hillsburg (4616045) RM 01000,165,37864,36415,46915,5196,41631,4038
Valley River 63A (4616046) IRI 00010,100,19264,19264,24397,0,24263,0
Shell River (4616049) RM 01000,360,38594,34211,48660,3814,41917,2890
Roblin (4616052) T 01010,820,29446,27023,36780,2054,32327,1606
Park (North) (4616063) RM 01000,135,26483,26340,31249,4032,27757,3037
Division No. 17 (4617)   01010,9525,34302,31852,45372,753,39114,565
Alonsa (4617026) RM 01020,545,27783,25731,30988,1527,28210,1308
Ebb and Flow 52 (4617029) IRI 00000,285,17152,17152,26025,0,25576,0
McCreary (4617034) RM 01000,190,32173,30213,45766,6132,38895,4304
McCreary (4617036) VL 01000,245,27149,27149,31612,2689,29035,2234
Ste. Rose (4617040) RM 00000,315,42176,38737,43382,3403,37738,2932
Ste. Rose du Lac (4617042) T 01000,425,26833,26780,40905,3009,35207,2264
Ochre River (4617045) RM 01010,400,38654,37949,52314,3863,45201,2992
Dauphin (4617048) RM 00000,920,44988,39468,58061,2930,49059,2243
Dauphin (4617050) CY 01000,3645,35527,32534,45881,1202,39433,909
Gilbert Plains (4617053) RM 00001,325,52252,42847,53489,3874,46876,3462
Gilbert Plains (4617055) T 01000,355,29777,28519,41031,3653,35502,2685
Grandview (4617057) RM 00001,280,38591,34816,60410,7972,49825,5652
Grandview (4617060) T 01010,415,29440,26582,34489,2092,31292,1674
Ethelbert (4617063) RM 00000,155,36397,31690,47041,5752,39594,4342
Ethelbert (4617067) VL 01010,160,29335,25738,34192,4440,31338,4123
Mossey River (4617071) RM 01000,240,34256,31323,42447,4008,37978,3344
Winnipegosis (4617073) VL 01020,290,30328,30328,55771,7459,45622,5302
Lawrence (4617076) RM 01010,225,23147,23113,33629,4567,29238,3459
Division No. 18 (4618)   01010,9685,39090,35168,47113,679,40417,521
Gimli (4618031) RM 01011,2675,48361,40900,57033,1658,47459,1355
Winnipeg Beach (4618034) T 02000,505,41556,36067,49205,4792,41442,3449
Armstrong (4618037) RM 01000,800,35602,32283,38642,1950,34211,1610
St. Laurent (4618040) RM 01010,580,43873,37290,46347,1689,40703,1342
Coldwell (4618044) RM 01020,550,36161,32412,45766,2967,39354,2337
Eriksdale (4618052) RM 01020,375,33157,31763,46454,3780,39663,2836
Dog Creek 46 (4618055) IRI 00000,180,17664,17664,25794,0,25448,0
Siglunes (4618057) RM 01010,630,33972,31722,41412,2452,36025,1920
Grahamdale (4618060) RM 01010,605,35958,33211,44007,1802,38625,1404
Little Saskatchewan 48 (4618063) IRI 00000,110,9024,9024,12920,0,12769,0
Fairford (Part) 50 (4618067) IRI 00010,235,16544,16544,20817,0,20554,0
Fisher (4618068) RM 01000,700,37230,34760,44828,2206,39435,1778
Bifrost (4618071) RM 01000,1020,41346,38746,50799,3463,43535,2287
Arborg (4618074) T 00000,455,36333,32899,47489,4596,40269,3367
Riverton (4618077) VL 00000,215,33688,30401,36721,3096,32800,2605
"Division No. 18, Unorganized, East Part (4618091) NO 02020",0,0,0,0,0,0,0
Division No. 19 (4619)   01010,4780,22669,22445,30154,139,28851,125
"Division No. 19, Unorganized (4619045) NO 01010",1110,26348,25791,35942,673,32461,540
Fort Alexander 3 (4619050) IRI 01010,540,27136,26837,33670,0,33254,0
Little Grand Rapids 14 (4619051) IRI 00000,210,23744,23744,31766,0,29838,0
Bloodvein 12 (4619052) IRI 01010,140,22592,22592,30769,0,30092,0
Hole or Hollow Water 10 (4619053) IRI 00000,155,29056,29056,35596,0,34771,0
Black River 9 (4619054) IRI 00000,120,20416,20416,25272,0,25218,0
Fisher River 44 (4619056) IRI 00010,360,33728,32235,37098,0,36179,0
Fisher River 44A (4619058) IRI 01010,0,0,0,0,0,0,0
Peguis 1B (4619059) IRI 00000,765,15558,15558,22616,152,22116,146
Jackhead 43 (4619061) IRI 01020,80,24384,24000,31349,0,30236,0
Dauphin River 48A (4619062) IRI 00000,0,0,0,0,0,0,0
The Narrows 49 (4619065) IRI 00000,130,10496,10496,16325,0,16199,0
Crane River 51 (4619068) IRI 00000,105,36907,36544,39268,0,38856,0
Waterhen 45 (4619069) IRI 00000,105,22592,22592,28901,0,28357,0
Pine Creek 66A (4619070) IRI 01020,205,16081,16081,20441,903,20126,874
Swan Lake 65C (4619071) IRI 02020,0,0,0,0,0,0,0
Shoal River Indian Reserve 65A (4619072) IRI 00000,190,18544,18528,25023,0,24522,0
Poplar River 16 (4619075) IRI 00020,165,27648,27648,33409,0,32663,0
Berens River 13 (4619077) IRI 00000,205,16157,16157,23076,1005,22581,951
Pauingassi First Nation (4619079) IRI 00000,100,23360,23360,28772,0,27839,0
Division No. 20 (4620)   01010,4365,36130,33306,46917,1027,40379,757
Mountain (South) (4620032) RM 01020,230,25051,25039,33408,2354,30514,1920
Minitonas (4620037) RM 01010,385,51048,44999,52827,2296,45038,1735
Minitonas (4620039) T 01000,225,30711,28157,34984,3284,31373,2765
Swan River (4620041) RM 01010,1040,50654,45610,58529,2569,49358,1882
Benito (4620043) VL 01020,185,21478,21478,28556,3145,26174,2766
Swan River (4620048) T 01000,1755,34564,31319,46419,1974,39849,1448
Bowsman (4620052) VL 01020,140,24568,22929,30864,3016,28020,2428
Mountain (North) (4620055) RM 01020,335,32419,31524,39604,2182,34925,1460
Division No. 21 (4621)   00010,7935,49805,44756,60366,759,51095,574
Grand Rapids (4621025) T 02000,135,51286,44966,56395,6958,48047,5268
Grand Rapids 33 (4621027) IRI 02010,170,38528,37888,43614,0,43081,0
Chemawawin 2 (4621029) IRI 01010,205,36821,36821,41518,0,41015,0
Opaskwayak Cree Nation 21A (4621033) IRI 00020,0,0,0,0,0,0,0
Opaskwayak Cree Nation 21I (4621040) IRI 01010,0,0,0,0,0,0,0
Opaskwayak Cree Nation 21E (4621043) IRI 00010,535,35968,35328,39740,0,38871,0
The Pas (4621045) T 00001,2205,49031,44077,61586,2261,51826,1662
Kelsey (4621052) RM 00111,910,60795,51380,66364,3323,55427,2446
Moose Lake 31A (4621058) IRI 00020,170,27989,27989,34374,0,34145,0
Flin Flon (Part) (4621064) CY 00000,2360,55618,46131,61936,1729,51154,1304
Snow Lake (4621071) T 01000,355,75515,58970,77688,5547,62138,3979
"Division No. 21, Unorganized (4621078) NO 01011",750,60960,51144,68007,3838,56218,2982
Division No. 22 (4622)   00010,10515,43945,41812,57274,395,49615,301
Mystery Lake (4622017) LGD 02201,0,0,0,0,0,0,0
Thompson (4622026) CY 00000,4810,68416,56696,76439,1519,61918,1115
"Division No. 22, Unorganized (4622046) NO 01211",770,51461,46901,60831,2770,52846,2119
Garden Hill First Nation (4622048) IRI 00010,435,27968,27968,30597,0,30425,0
God's Lake 23 (4622049) IRI 00000,250,22592,22592,31767,0,31059,0
Oxford House 24 (4622050) IRI 00020,390,32064,31840,38375,0,37655,0
Cross Lake 19 (4622051) IRI 00200,345,32320,31552,40211,0,39469,0
Cross Lake 19A (4622052) IRI 00200,330,30912,30912,37531,0,36837,0
God's River 86A (4622055) IRI 00000,100,39936,39936,45148,0,43764,0
Norway House 17 (4622058) IRI 00010,1020,27827,27648,33831,0,33441,0
Nelson House 170 (4622059) IRI 00010,420,33024,33024,39773,0,39467,0
Ilford (4622064) S-É 00000,0,0,0,0,0,0,0
York Landing (4622065) IRI 01020,115,34176,34176,35703,0,35289,0
Cross Lake 19E (4622067) IRI 00200,110,42496,41984,47833,0,47355,0
Wasagamack (4622800) IRI 00020,250,32544,32544,35261,0,34872,0
St. Theresa Point (4622801) IRI 01020,495,36480,36480,40879,0,40568,0
Division No. 23 (4623)   00020,2300,43527,40175,54738,878,47787,659
Gillam (4623022) T 00100,435,79243,63855,85931,5034,69655,3692
Leaf Rapids (4623034) T 01000,165,40019,38869,44802,3782,40507,3018
South Indian Lake (4623037) S-É 00010,160,38912,38656,43676,0,42182,0
Granville Lake (4623039) S-É 00010,0,0,0,0,0,0,0
Lynn Lake (4623047) T 01010,245,38700,32916,61500,10860,50104,7267
Churchill (4623056) T 01010,395,55200,47058,63970,5283,53775,4036
Churchill 1 (4623058) IRI 00010,120,23424,23424,28660,0,27560,0
"Division No. 23, Unorganized (4623062) NO 00020",0,0,0,0,0,0,0
Pukatawagan 198 (4623064) IRI 01020,315,31360,31040,38573,0,36827,0
Brochet 197 (4623065) IRI 00010,65,29120,29120,33734,0,33698,0
Lac Brochet 197A (4623067) IRI 00000,135,30656,30272,38483,0,37796,0
Shamattawa 1 (4623071) IRI 00010,150,37248,36779,41182,0,40543,0
Saskatchewan (47)   20010,387145,46705,41084,59455,252,49680,167
Division No. 1 (4701)   00010,11920,50121,44089,66183,1614,53617,934
Argyle No. 1 (4701001) RM 01010,105,46032,42336,52378,6137,45477,4982
Gainsborough (4701002) VL 00000,0,0,0,0,0,0,0
Carievale (4701004) VL 00000,0,0,0,0,0,0,0
Mount Pleasant No. 2 (4701006) RM 00000,140,69863,57489,75064,9739,65254,8404
Carnduff (4701008) T 00000,425,46757,39155,82351,18874,61507,10264
Enniskillen No. 3 (4701011) RM 00000,160,57191,46653,63117,7417,53326,5763
Glen Ewen (4701012) VL 00000,0,0,0,0,0,0,0
Oxbow (4701014) T 00000,445,63251,52309,70818,5427,57601,4136
Coalfields No. 4 (4701016) RM 00000,140,66143,52784,76004,12370,60506,8819
Frobisher (4701017) VL 00000,0,0,0,0,0,0,0
North Portal (4701018) VL 00000,0,0,0,0,0,0,0
Roche Percee (4701019) VL 00000,0,0,0,0,0,0,0
Bienfait (4701021) T 00000,295,55182,46734,68016,5194,56672,4061
Estevan No. 5 (4701022) RM 00000,390,79512,66712,154008,39612,95845,18683
Estevan (4701024) CY 00000,4240,62630,52524,71932,1879,58102,1355
Benson No. 35 (4701027) RM 00001,160,44003,39890,59094,7084,50376,5570
Browning No. 34 (4701031) RM 00000,150,44583,35252,53515,4828,45558,3890
Lampman (4701032) T 00000,255,55951,45646,72078,7704,58191,5638
Moose Creek No. 33 (4701036) RM 00010,140,46067,42218,60302,7103,51891,5379
Alameda (4701037) T 00000,140,31225,28383,53811,10931,46780,9077
Reciprocity No. 32 (4701039) RM 00010,140,43701,41189,56999,6330,48563,4657
Alida (4701041) VL 02000,0,0,0,0,0,0,0
Storthoaks No. 31 (4701043) RM 00000,110,40656,40656,53084,7101,45608,5454
Storthoaks (4701044) VL 01000,0,0,0,0,0,0,0
Antler No. 61 (4701047) RM 01000,175,35268,34288,59203,14230,52372,11853
Redvers (4701049) T 01000,405,37967,33852,48432,3931,42051,3107
Moose Mountain No. 63 (4701053) RM 01100,175,43660,41287,53776,8258,47389,6466
Manor (4701054) VL 00000,135,48275,41107,66167,9904,54424,7561
Carlyle (4701056) T 00000,510,56262,47778,58834,3354,48679,2490
Brock No. 64 (4701058) RM 00010,110,41758,39869,69780,11994,54624,7819
Arcola (4701059) T 00000,225,42044,37522,48475,5654,41078,4062
Kisbey (4701061) VL 01020,0,0,0,0,0,0,0
Tecumseh No. 65 (4701063) RM 01010,110,48941,41733,52554,4280,44569,3401
Stoughton (4701066) T 00000,295,40593,35723,46906,3413,40817,2673
Golden West No. 95 (4701069) RM 01000,130,46008,39096,43521,9064,36403,8562
Hazelwood No. 94 (4701072) RM 02020,105,39560,36549,50855,2046,43339,1534
Wawken No. 93 (4701076) RM 01110,265,44786,40690,59168,7972,50809,6560
Kennedy (4701077) VL 02020,0,0,0,0,0,0,0
Wawota (4701078) T 00000,245,35491,34713,41680,3600,36959,3044
Kenosee Lake (4701079) VL 01000,0,0,0,0,0,0,0
Walpole No. 92 (4701091) RM 00010,140,50024,44062,51085,4610,44725,3719
Maryfield No. 91 (4701094) RM 00000,135,32810,30134,48761,7549,44998,7060
Maryfield (4701096) VL 02000,150,44411,40776,50247,4742,42797,3424
Fairlight (4701098) VL 01000,0,0,0,0,0,0,0
White Bear 70 (4701808) IRI 01020,250,18464,18464,29433,263,27691,233
Ocean Man 69 (4701809) IRI 02020,0,0,0,0,0,0,0
Division No. 2 (4702)   00000,8570,45532,40228,62792,5007,51151,2895
Cambria No. 6 (4702001) RM 00000,100,59733,55381,61609,10849,50751,7909
Torquay (4702002) VL 00010,0,0,0,0,0,0,0
Souris Valley No. 7 (4702006) RM 00010,0,0,0,0,0,0,0
Lake Alma No. 8 (4702011) RM 00000,0,0,0,0,0,0,0
Surprise Valley No. 9 (4702014) RM 00000,0,0,0,0,0,0,0
Minton (4702016) VL 00010,0,0,0,0,0,0,0
Happy Valley No. 10 (4702018) RM 00000,0,0,0,0,0,0,0
Bengough (4702023) T 01020,180,43348,32109,41306,3431,36517,2871
Bengough No. 40 (4702024) RM 00000,135,38651,32092,37888,2884,33871,2307
The Gap No. 39 (4702026) RM 01000,0,0,0,0,0,0,0
Ceylon (4702028) VL 01000,0,0,0,0,0,0,0
Laurier No. 38 (4702029) RM 00000,125,39403,36630,47479,4171,39663,3672
Radville (4702031) T 00010,310,48230,43293,51574,3895,45114,3166
Lomond No. 37 (4702033) RM 00010,120,49340,44054,46813,14247,38108,13545
Cymri No. 36 (4702037) RM 00000,170,49298,42898,61214,7418,50541,5964
Halbrite (4702038) VL 01020,0,0,0,0,0,0,0
Midale (4702039) T 00000,195,58385,44049,81344,16859,62477,10789
Macoun (4702041) VL 01000,0,0,0,0,0,0,0
Griffin No. 66 (4702042) RM 00000,125,50198,43916,57854,6992,49996,5245
Weyburn No. 67 (4702044) RM 00000,320,67209,56698,90588,13481,71430,8333
Weyburn (4702047) CY 00000,4045,49793,42883,73185,10449,57659,5988
McTaggart (4702048) VL 00000,0,0,0,0,0,0,0
Brokenshell No. 68 (4702051) RM 00010,115,40716,36879,42890,7449,37775,6375
Norton No. 69 (4702052) RM 00001,0,0,0,0,0,0,0
Key West No. 70 (4702057) RM 00010,135,41539,40979,50004,5746,43739,4400
Ogema (4702058) T 01020,160,26395,26395,39037,5070,34783,4080
Elmsthorpe No. 100 (4702061) RM 00000,100,31884,31622,66033,19462,55638,13276
Avonlea (4702062) VL 00010,160,46486,37526,52087,6990,43802,5873
Caledonia No. 99 (4702066) RM 01000,115,49964,43069,47565,4457,42154,3576
Milestone (4702067) T 01010,240,48052,40604,53926,3630,45963,2810
Scott No. 98 (4702069) RM 00000,0,0,0,0,0,0,0
Lang (4702071) VL 00000,0,0,0,0,0,0,0
Yellow Grass (4702072) T 00000,170,37231,35695,51350,6066,43964,4737
Wellington No. 97 (4702073) RM 01000,140,37789,32719,45050,5124,40515,4559
